Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
Gambia,Africa,2558482,12626,0.0,372.0,0.0,12189.0,0.0,65.0,0.0,4935,145.0,155686.0,60851.0,Africa
Saint Martin,North America,39730,12303,0.0,63.0,0.0,1399.0,0.0,10841.0,7.0,309665,1586.0,112382.0,2828643.0,0
Vanuatu,Australia/Oceania,321832,12019,0.0,14.0,0.0,11976.0,0.0,29.0,0.0,37346,44.0,24976.0,77606.0,WesternPacific
Greenland,North America,56973,11971,0.0,21.0,0.0,2761.0,0.0,9189.0,4.0,210117,369.0,164926.0,2894810.0,Europe
Yemen,Asia,31154867,11945,0.0,2159.0,0.0,9124.0,0.0,662.0,23.0,383,69.0,329592.0,10579.0,EasternMediterranean
Caribbean Netherlands,North America,26647,11682,0.0,38.0,0.0,10476.0,0.0,1168.0,0.0,438398,1426.0,30126.0,1130559.0,0
Sint Maarten,North America,43966,11051,0.0,92.0,0.0,10905.0,0.0,54.0,0.0,251353,2093.0,62056.0,1411454.0,0
Eritrea,Africa,3662244,10189,0.0,103.0,0.0,10086.0,0.0,0.0,0.0,2782,28.0,23693.0,6470.0,Africa
Niger,Africa,26083660,9931,0.0,312.0,0.0,8890.0,0.0,729.0,1.0,381,12.0,254538.0,9759.0,Africa
St. Vincent Grenadines,North America,111551,9631,0.0,124.0,0.0,9493.0,0.0,14.0,0.0,86337,1112.0,114197.0,1023720.0,0
Guinea-Bissau,Africa,2063367,9614,0.0,177.0,0.0,8929.0,0.0,508.0,6.0,4659,86.0,145231.0,70385.0,Africa
Comoros,Africa,907419,9109,0.0,161.0,0.0,8939.0,0.0,9.0,0.0,10038,177.0,0.0,0.0,Africa
Antigua and Barbuda,North America,99509,9106,0.0,146.0,0.0,8954.0,0.0,6.0,1.0,91509,1467.0,18901.0,189943.0,Americas
Macao,Asia,667490,8873,0.0,122.0,0.0,3487.0,0.0,5264.0,0.0,13293,183.0,7850.0,11760.0,0
Liberia,Africa,5305117,8090,0.0,295.0,0.0,7783.0,0.0,12.0,2.0,1525,56.0,139824.0,26356.0,Africa
Sierra Leone,Africa,8306436,7762,0.0,126.0,0.0,0.0,0.0,0.0,0.0,934,15.0,259958.0,31296.0,Africa
Chad,Africa,17413580,7701,0.0,194.0,0.0,4874.0,0.0,2633.0,0.0,442,11.0,191341.0,10988.0,Africa
British Virgin Islands,North America,30596,7305,0.0,64.0,0.0,0.0,0.0,0.0,0.0,238757,2092.0,107339.0,3508269.0,0
Cook Islands,Australia/Oceania,17571,7128,0.0,2.0,0.0,7106.0,0.0,20.0,0.0,405668,114.0,19690.0,1120596.0,WesternPacific
Saint Kitts and Nevis,North America,53871,6602,0.0,48.0,0.0,6554.0,0.0,0.0,0.0,122552,891.0,126946.0,2356481.0,Americas
Turks and Caicos,North America,39741,6588,0.0,38.0,0.0,6529.0,0.0,21.0,4.0,165773,956.0,612335.0,15408143.0,0
Sao Tome and Principe,Africa,227679,6587,0.0,80.0,0.0,6507.0,0.0,0.0,0.0,28931,351.0,29036.0,127530.0,Africa
Palau,Australia/Oceania,18233,6011,0.0,9.0,0.0,6000.0,0.0,2.0,0.0,329677,494.0,69781.0,3827181.0,WesternPacific
St. Barth,North America,9945,5494,0.0,6.0,0.0,0.0,0.0,0.0,0.0,552438,603.0,78646.0,7908095.0,0
Nauru,Australia/Oceania,10903,5393,0.0,1.0,0.0,5347.0,0.0,45.0,0.0,494635,92.0,20509.0,1881042.0,WesternPacific
Kiribati,Australia/Oceania,123419,5029,0.0,24.0,0.0,2703.0,0.0,2302.0,3.0,40747,194.0,0.0,0.0,WesternPacific
Anguilla,North America,15230,3904,0.0,12.0,0.0,3879.0,0.0,13.0,4.0,256336,788.0,51382.0,3373736.0,0
Wallis and Futuna,Australia/Oceania,10982,3550,0.0,8.0,0.0,438.0,0.0,3104.0,0.0,323256,728.0,20508.0,1867419.0,0
Saint Pierre Miquelon,North America,5759,3452,0.0,2.0,0.0,2449.0,0.0,1001.0,1.0,599410,347.0,25400.0,4410488.0,0
Tuvalu,Australia/Oceania,12066,2805,0.0,0.0,0.0,0.0,0.0,2805.0,0.0,232471,0.0,0.0,0.0,WesternPacific
Saint Helena,Africa,6115,2166,0.0,0.0,0.0,2.0,0.0,2164.0,0.0,354211,0.0,0.0,0.0,0
Falkland Islands,South America,3539,1930,0.0,0.0,0.0,1930.0,0.0,0.0,0.0,545352,0.0,8632.0,2439107.0,0
Montserrat,North America,4965,1403,0.0,8.0,0.0,1376.0,0.0,19.0,0.0,282578,1611.0,17762.0,3577442.0,0
Niue,Australia/Oceania,1622,820,0.0,0.0,0.0,814.0,0.0,6.0,0.0,505549,0.0,0.0,0.0,WesternPacific
